year, obs,mod,Models
4-Jan,0,9.68,ANN
4-Feb,0,12.54,ANN
4-Mar,15.77,12.9,ANN
4-Apr,0,10.75,ANN
4-May,44.09,3.23,ANN
4-Jun,0,0,ANN
4-Jul,34.77,36.2,ANN
4-Aug,12.54,11.83,ANN
4-Sep,0,16.13,ANN
4-Oct,3.23,0,ANN
4-Nov,3.23,9.68,ANN
4-Dec,3.23,9.68,ANN
5-Jan,14.29,21.43,ANN
5-Feb,19.84,24.21,ANN
5-Mar,0,0,ANN
5-Apr,0,0,ANN
5-May,37.7,31.35,ANN
5-Jun,0,0,ANN
5-Jul,2.78,0,ANN
5-Aug,6.35,10.32,ANN
5-Sep,55.95,55.16,ANN
5-Oct,0,0,ANN
5-Nov,0,0,ANN
5-Dec,0,0,ANN
6-Jan,3.23,3.23,ANN
6-Feb,6.09,6.09,ANN
6-Mar,14.7,19.35,ANN
6-Apr,30.47,32.26,ANN
6-May,0,0,ANN
6-Jun,8.6,8.96,ANN
6-Jul,0,2.51,ANN
6-Aug,9.68,15.77,ANN
6-Sep,30.47,22.22,ANN
6-Oct,0,2.87,ANN
6-Nov,0,2.87,ANN
6-Dec,0,3.23,ANN
7-Jan,33.33,33.33,ANN
7-Feb,43.7,47.41,ANN
7-Mar,10,10,ANN
7-Apr,3.33,3.33,ANN
7-May,11.48,12.96,ANN
7-Jun,20.74,24.44,ANN
7-Jul,1.48,3.33,ANN
7-Aug,9.63,6.67,ANN
7-Sep,10,10,ANN
7-Oct,0,0,ANN
7-Nov,0,0,ANN
7-Dec,0,0,ANN
8-Jan,25.81,25.81,ANN
8-Feb,33.33,36.2,ANN
8-Mar,6.45,7.89,ANN
8-Apr,12.9,14.7,ANN
8-May,11.83,11.83,ANN
8-Jun,15.05,14.7,ANN
8-Jul,2.51,2.87,ANN
8-Aug,2.87,3.23,ANN
8-Sep,2.51,3.23,ANN
8-Oct,10.75,7.53,ANN
8-Nov,10.75,12.54,ANN
8-Dec,6.45,12.9,ANN
9-Jan,3.33,6.67,ANN
9-Feb,5.19,8.89,ANN
9-Mar,15.19,20,ANN
9-Apr,5.19,2.96,ANN
9-May,10,6.3,ANN
9-Jun,19.63,22.59,ANN
9-Jul,24.81,22.96,ANN
9-Aug,12.96,14.44,ANN
9-Sep,8.89,8.89,ANN
9-Oct,3.33,5.19,ANN
9-Nov,3.33,3.33,ANN
9-Dec,3.33,3.33,ANN
10-Jan,0,3.23,ANN
10-Feb,1.79,2.87,ANN
10-Mar,2.87,2.87,ANN
10-Apr,17.56,17.56,ANN
10-May,3.94,5.73,ANN
10-Jun,16.13,16.13,ANN
10-Jul,18.64,20.79,ANN
10-Aug,14.34,14.7,ANN
10-Sep,9.68,9.68,ANN
10-Oct,1.79,0,ANN
10-Nov,1.79,2.15,ANN
10-Dec,0,3.23,ANN
11-Jan,3.23,3.23,ANN
11-Feb,5.02,5.38,ANN
11-Mar,10.04,8.24,ANN
11-Apr,0,0,ANN
11-May,16.13,15.41,ANN
11-Jun,22.22,24.01,ANN
11-Jul,19,20.43,ANN
11-Aug,12.54,11.83,ANN
11-Sep,9.68,8.24,ANN
11-Oct,8.96,8.24,ANN
11-Nov,8.96,11.83,ANN
11-Dec,6.45,12.9,ANN
12-Jan,0,3.33,ANN
12-Feb,0,3.33,ANN
12-Mar,17.04,15.19,ANN
12-Apr,12.96,15.56,ANN
12-May,28.52,28.89,ANN
12-Jun,18.52,19.26,ANN
12-Jul,33.33,30,ANN
12-Aug,2.22,4.44,ANN
12-Sep,0,0,ANN
12-Oct,3.33,3.33,ANN
12-Nov,3.33,2.96,ANN
12-Dec,3.33,3.33,ANN
13-Jan,12.9,12.9,ANN
13-Feb,12.9,12.9,ANN
13-Mar,0,0,ANN
13-Apr,46.95,43.73,ANN
13-May,0,0,ANN
13-Jun,40.14,43.37,ANN
13-Jul,0,2.87,ANN
13-Aug,2.87,0,ANN
13-Sep,17.2,17.56,ANN
13-Oct,0,0,ANN
13-Nov,0,0,ANN
13-Dec,0,0,ANN
14-Jan,16.67,16.67,ANN
14-Feb,16.67,19.63,ANN
14-Mar,6.3,9.63,ANN
14-Apr,6.67,8.89,ANN
14-May,7.78,21.48,ANN
14-Jun,33.7,31.48,ANN
14-Jul,0,8.89,ANN
14-Aug,0,0,ANN
14-Sep,0,0,ANN
14-Oct,15.56,13.33,ANN
14-Nov,15.56,6.3,ANN
14-Dec,3.33,6.67,ANN
15-Jan,54.84,38.71,ANN
15-Feb,63.44,57.71,ANN
15-Mar,0,0,ANN
15-Apr,5.38,0,ANN
15-May,0,0,ANN
15-Jun,9.68,12.54,ANN
15-Jul,14.7,22.58,ANN
15-Aug,28.32,16.13,ANN
15-Sep,0,6.45,ANN
15-Oct,0,2.51,ANN
15-Nov,0,6.45,ANN
15-Dec,0,6.45,ANN
4-Jan,0,12.9,SVM
4-Feb,0,12.9,SVM
4-Mar,15.77,13.98,SVM
4-Apr,0,14.7,SVM
4-May,44.09,12.9,SVM
4-Jun,0,0,SVM
4-Jul,34.77,24.73,SVM
4-Aug,12.54,12.9,SVM
4-Sep,0,15.77,SVM
4-Oct,3.23,0,SVM
4-Nov,3.23,2.15,SVM
4-Dec,3.23,3.23,SVM
5-Jan,14.29,17.86,SVM
5-Feb,19.84,22.62,SVM
5-Mar,0,0,SVM
5-Apr,0,0,SVM
5-May,37.7,21.43,SVM
5-Jun,0,3.57,SVM
5-Jul,2.78,16.67,SVM
5-Aug,6.35,0,SVM
5-Sep,55.95,49.21,SVM
5-Oct,0,0,SVM
5-Nov,0,0,SVM
5-Dec,0,0,SVM
6-Jan,3.23,3.23,SVM
6-Feb,6.09,6.09,SVM
6-Mar,14.7,16.13,SVM
6-Apr,30.47,30.82,SVM
6-May,0,0,SVM
6-Jun,8.6,0,SVM
6-Jul,0,0,SVM
6-Aug,9.68,21.51,SVM
6-Sep,30.47,24.37,SVM
6-Oct,0,6.45,SVM
6-Nov,0,8.24,SVM
6-Dec,0,6.45,SVM
7-Jan,33.33,33.33,SVM
7-Feb,43.7,40.37,SVM
7-Mar,10,12.59,SVM
7-Apr,3.33,3.33,SVM
7-May,11.48,11.11,SVM
7-Jun,20.74,9.26,SVM
7-Jul,1.48,0,SVM
7-Aug,9.63,21.11,SVM
7-Sep,10,18.89,SVM
7-Oct,0,5.19,SVM
7-Nov,0,3.33,SVM
7-Dec,0,3.33,SVM
8-Jan,25.81,22.58,SVM
8-Feb,33.33,26.52,SVM
8-Mar,6.45,6.45,SVM
8-Apr,12.9,25.45,SVM
8-May,11.83,12.19,SVM
8-Jun,15.05,15.05,SVM
8-Jul,2.51,3.23,SVM
8-Aug,2.87,0,SVM
8-Sep,2.51,0,SVM
8-Oct,10.75,12.19,SVM
8-Nov,10.75,11.11,SVM
8-Dec,6.45,6.45,SVM
9-Jan,3.33,13.33,SVM
9-Feb,5.19,12.22,SVM
9-Mar,15.19,24.07,SVM
9-Apr,5.19,5.56,SVM
9-May,10,13.33,SVM
9-Jun,19.63,14.81,SVM
